Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Effort,Self Feel,Place
Running,12/09/2022 21:00,7.01,464,0:41:59,0,0,169,192,6:00,5:12,31,55,0.99,0:41:54,0:41:59,50,80,9,3,Ein Vered
Running,08/09/2022 20:02,5,329,0:28:19,0,0,168,176,5:39,4:52,38,34,1.05,0:28:18,0:28:24,55,80,8,5,Ein Vered
Running,05/09/2022 20:50,7.01,460,0:40:02,0,0,169,175,5:43,4:55,34,57,1.04,0:39:56,0:40:02,50,80,8,5,Ein Vered
Running,03/09/2022 20:10,7,464,0:41:36,0,0,170,182,5:56,5:04,36,53,0.99,0:41:34,0:41:36,52,78,7,5,Ein Vered
Running,01/09/2022 20:42,5.01,331,0:28:57,0,0,167,175,5:47,5:17,19,35,1.03,0:28:50,0:28:57,50,79,8,5,Ein Vered
Running,25/08/2022 18:58,5.01,321,0:28:10,0,0,167,173,5:38,4:04,35,45,1.06,0:27:40,0:28:10,53,81,7,5,Ein Vered
Running,22/08/2022 20:32,5,333,0:29:10,0,0,169,175,5:50,5:14,17,32,1.01,0:29:03,0:29:10,54,78,10,4,Ein Vered
Running,18/08/2022 18:45,5.01,328,0:28:11,0,0,168,176,5:38,5:02,22,43,1.06,0:28:06,0:28:11,53,81,9,5,Ein Vered
Running,17/08/2022 19:29,5.01,331,0:28:27,0,0,167,175,5:41,5:05,20,42,1.05,0:28:20,0:28:30,50,80,7,5,Ein Vered
Running,13/08/2022 19:58,5,321,0:29:29,0,0,167,177,5:53,4:58,40,49,1.02,0:29:23,0:33:59,270,309,6,4,Beer Sheva
Running,11/08/2022 20:05,5,326,0:28:40,0,0,167,180,5:44,5:00,22,30,1.05,0:28:33,0:29:51,271,296,7,4,Beer Sheva
Running,08/08/2022 20:05,5.01,331,0:29:40,0,0,167,171,5:56,4:33,34,45,1.01,0:29:39,0:29:40,53,80,7,5,Ein Vered
Running,06/08/2022 20:19,5.01,330,0:29:38,0,0,167,175,5:55,4:21,19,37,1.01,0:29:33,0:29:38,50,80,8,5,Ein Vered
Running,04/08/2022 19:58,5,335,0:31:33,0,0,168,173,6:18,5:40,24,42,0.95,0:31:28,0:31:33,52,81,10,1,Ein Vered
Running,30/07/2022 20:00,5,332,0:30:41,0,0,168,177,6:08,5:12,38,32,0.97,0:30:36,0:32:10,274,299,10,1,Beer Sheva
Running,28/07/2022 20:30,5,334,0:30:33,0,0,166,176,6:06,5:22,35,42,0.99,0:30:26,0:32:25,274,310,10,1,Beer Sheva
Running,23/07/2022 19:07,5,329,0:28:30,0,0,168,175,5:42,5:01,27,22,1.05,0:28:23,0:28:55,270,292,10,2,Beer Sheva
Running,21/07/2022 20:45,5,327,0:28:14,0,0,166,178,5:39,4:46,32,37,1.07,0:28:09,0:28:28,270,303,9,4,Beer Sheva
Running,14/07/2022 20:44,5.01,326,0:27:48,0,0,168,180,5:33,4:44,30,40,1.07,0:27:42,0:28:33,269,294,6,5,Beer Sheva
Running,09/07/2022 20:44,5.01,328,0:27:24,0,0,169,185,5:29,4:47,26,24,1.08,0:27:19,0:28:52,269,292,10,3,Beer Sheva
Running,07/07/2022 20:55,5.01,328,0:27:09,0,0,168,182,5:25,4:08,50,47,1.1,0:27:07,0:27:18,269,299,10,3,Beer Sheva
Running,04/07/2022 20:28,5.01,333,0:27:25,0,0,169,178,5:29,4:39,52,46,1.08,0:27:20,0:27:35,269,304,8,4,Beer Sheva
Running,30/06/2022 20:32,5.01,333,0:28:21,0,0,168,179,5:40,4:13,60,52,1.05,0:28:20,0:28:21,270,301,9,4,Beer Sheva
Running,27/06/2022 21:13,3.01,199,0:14:49,0,0,168,178,4:56,4:29,12,23,1.21,0:14:43,0:14:51,270,293,9,4,Beer Sheva
Running,25/06/2022 20:47,5.01,329,0:29:07,0,0,167,178,5:49,4:37,14,34,1.03,0:29:01,0:29:07,54,78,7,5,Ein Vered
Running,20/06/2022 20:45,5.01,328,0:27:35,0,0,168,190,5:30,0:54,36,32,1.08,0:27:27,0:27:43,273,328,8,5,Beer Sheva
Running,18/06/2022 21:04,5.01,324,0:28:38,0,0,168,180,5:43,4:33,35,28,1.04,0:28:12,0:28:38,270,301,8,5,Beer Sheva
Running,09/06/2022 20:48,5,322,0:28:32,0,0,166,218,5:42,4:39,28,24,1.05,0:28:22,0:31:15,285,310,9,5,Beer Sheva
Running,06/06/2022 20:27,5,332,0:27:32,173,184,167,191,5:30,4:37,51,56,1.09,0:27:23,0:27:41,270,313,10,5,Beer Sheva
Running,02/06/2022 20:42,5,323,0:27:59,166,182,167,176,5:36,5:05,36,34,1.07,0:27:58,0:28:02,53,81,9,5,Ein Vered
Running,28/05/2022 20:00,5.01,332,0:27:57,171,184,169,189,5:35,4:00,38,38,1.06,0:27:50,0:28:52,270,302,9,5,Beer Sheva
Running,23/05/2022 20:11,5.01,325,0:27:47,169,181,167,173,5:33,4:50,30,42,1.08,0:27:42,0:27:57,274,291,9,5,Beer Sheva
Running,19/05/2022 20:09,5,340,0:28:29,172,184,167,176,5:42,4:33,35,30,1.05,0:28:20,0:28:37,274,303,8,5,Beer Sheva
Running,16/05/2022 20:38,5,348,0:28:47,173,184,168,193,5:45,4:35,34,34,1.04,0:28:34,0:29:30,285,311,9,5,Beer Sheva
Running,14/05/2022 20:02,5,346,0:27:52,176,185,166,177,5:34,5:03,27,34,1.08,0:27:48,0:28:01,270,301,9,5,Beer Sheva
Running,12/05/2022 20:13,5.01,327,0:27:08,171,188,167,188,5:25,4:41,32,38,1.1,0:27:02,0:27:14,269,303,9,5,Beer Sheva
Running,09/05/2022 20:41,5,345,0:27:41,175,185,166,227,5:32,4:53,33,39,1.09,0:27:40,0:27:58,282,310,7,5,Beer Sheva
Running,07/05/2022 12:52,5.01,351,0:28:30,173,188,167,175,5:42,4:25,33,46,1.05,0:28:24,0:28:30,53,79,10,4,Ein Vered
